model   task    template        fewshot seed    postproc        timestamp       filename        comet
bloom	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.newline-cut-custom-truncate.tsv	0.5672
bloom	diabla	xglm-source+target	0	1234	newline-cut	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.newline-cut.tsv	-0.8211
bloom	diabla	xglm-source+target	0	1234		2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.tsv	-1.5807
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.newline-cut-custom-truncate.tsv	0.5337
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.newline-cut.tsv	0.5344
mt0-xxl	diabla	xglm-source+target	0	1234		2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.tsv	0.5344
opt	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut-custom-truncate.tsv	0.5544
opt	diabla	xglm-source+target	0	1234	newline-cut	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut.tsv	0.5500
opt	diabla	xglm-source+target	0	1234		2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.tsv	-1.5074
t0	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.newline-cut-custom-truncate.tsv	0.2281
t0	diabla	xglm-source+target	0	1234	newline-cut	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.newline-cut.tsv	0.2281
t0	diabla	xglm-source+target	0	1234		2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.tsv	0.2281
